[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000639s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000728s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000506s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000571s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001090s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001186s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.025975s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026055s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000382s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000442s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000287s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000435s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001708s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000441s ]
[ 2014-08-27T23:41:12+08:00 ] /v/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000494s ]
[ 2014-08-27T23:41:13+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:41:13+08:00 ] /v/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000860s ]
[ 2014-08-27T23:41:13+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000942s ]
[ 2014-08-27T23:41:13+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:41:13+08:00 ] /v/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000612s ]
[ 2014-08-27T23:41:13+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000674s ]
[ 2014-08-27T23:41:27+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:41:27+08:00 ] /v/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000699s ]
[ 2014-08-27T23:41:27+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000785s ]
[ 2014-08-27T23:41:27+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:41:27+08:00 ] /v/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000548s ]
[ 2014-08-27T23:41:27+08:00 ] /v/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000607s ]
[ 2014-08-27T23:41:33+08:00 ] /v/admin.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:41:33+08:00 ] /v/admin.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.000958s ]
[ 2014-08-27T23:41:33+08:00 ] /v/admin.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001082s ]
[ 2014-08-27T23:41:33+08:00 ] /v/admin.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:41:33+08:00 ] /v/admin.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000835s ]
[ 2014-08-27T23:41:33+08:00 ] /v/admin.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000914s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | SQL: SHOW COLUMNS FROM `hd_admin` [ RunTime:0.003326s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | SQL: SELECT * FROM `hd_admin` WHERE ( `username` = 'admin' ) LIMIT 1   [ RunTime:0.000286s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | NOTIC: [8] Use of undefined constant user - assumed 'user' LoginAction.class.php 第 36 行.
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | SQL: UPDATE `hd_admin` SET `logintime`=1409154094,`loginip`='0.0.0.0' WHERE ( `id` = '1' ) [ RunTime:0.000266s ]
[ 2014-08-27T23:41:34+08:00 ] /v/admin.php/Login/login | INFO: Tag[ view_template ] --START--
