[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ app_begin ] --START--
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001037s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001149s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_template ] --START--
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001034s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001164s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_parse ] --START--
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011259s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011363s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_filter ] --START--
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000672s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000689s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000516s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000747s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002842s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_end ] --START--
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000700s ]
[ 2014-08-28T00:01:27+08:00 ] /v/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000775s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.000706s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.000793s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000570s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000631s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002708s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000174s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` WHERE ( `lock` = 1 ) LIMIT 1   [ RunTime:0.000187s ]
[ 2014-08-28T00:01:28+08:00 ] /v/admin.php/Index/copy | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.002497s ]
